filename,width,height,class,xmin,ymin,xmax,ymax
180-cka-1.jpg,640,360,truk,71,67,108,121
180-cka-1.jpg,640,360,motor,103,213,121,234
180-cka-2.jpg,640,360,truk,70,68,107,120
180-cka-2.jpg,640,360,motor,102,209,117,230
180-cka-3.jpg,640,360,truk,20,27,63,85
180-cka-3.jpg,640,360,motor,96,264,114,285
180-cka-4.jpg,640,360,truk,1,32,46,85
180-cka-4.jpg,640,360,motor,64,219,83,244
180-cka-5.jpg,640,360,truk,1,1,45,55
180-cka-5.jpg,640,360,motor,39,148,59,171
180-cka-6.jpg,640,360,truk,3,1,43,42
180-cka-7.jpg,640,360,truk,7,1,42,44
180-cka-110.jpg,640,360,mobil,33,333,53,360
180-cka-111.jpg,640,360,mobil,44,333,63,360
180-cka-111.jpg,640,360,mobil,4,165,22,195
180-cka-112.jpg,640,360,mobil,47,307,76,338
180-cka-112.jpg,640,360,mobil,11,153,35,187
180-cka-113.jpg,640,360,mobil,37,269,64,300
180-cka-113.jpg,640,360,mobil,50,308,75,337
180-cka-113.jpg,640,360,mobil,11,130,35,159
180-cka-113.jpg,640,360,motor,13,202,33,225
180-cka-114.jpg,640,360,mobil,40,259,67,288
180-cka-114.jpg,640,360,mobil,62,301,82,329
180-cka-114.jpg,640,360,mobil,22,125,38,154
180-cka-114.jpg,640,360,mobil,1,35,13,62
180-cka-115.jpg,640,360,mobil,65,286,88,318
180-cka-115.jpg,640,360,mobil,51,249,70,280
180-cka-115.jpg,640,360,mobil,24,119,48,153
180-cka-115.jpg,640,360,mobil,1,45,20,82
180-cka-116.jpg,640,360,mobil,64,258,87,287
180-cka-116.jpg,640,360,mobil,48,220,72,247
180-cka-116.jpg,640,360,mobil,23,95,46,124
180-cka-116.jpg,640,360,mobil,8,28,28,58
180-cka-117.jpg,640,360,mobil,65,251,83,272
180-cka-117.jpg,640,360,mobil,81,292,100,316
180-cka-117.jpg,640,360,mobil,31,137,52,171
180-cka-117.jpg,640,360,mobil,5,79,30,107
180-cka-117.jpg,640,360,truk,64,324,90,360
180-cka-118.jpg,640,360,truk,12,163,41,229
180-cka-118.jpg,640,360,mobil,61,225,76,247
180-cka-118.jpg,640,360,mobil,53,185,62,218
180-cka-118.jpg,640,360,mobil,26,79,37,101
180-cka-118.jpg,640,360,mobil,12,11,24,42
180-cka-119.jpg,640,360,mobil,69,220,93,253
180-cka-119.jpg,640,360,mobil,57,186,71,215
180-cka-119.jpg,640,360,mobil,32,75,50,109
